date,opponent,team,assistant,finisher,assists
2018-02-10,SAS,GSW,Quinn Cook,Andre Iguodala,2
2018-02-10,SAS,GSW,JaVale McGee,Quinn Cook,1
2018-02-10,SAS,GSW,Patrick McCaw,Kevon Looney,1
2018-02-10,SAS,GSW,Quinn Cook,Patrick McCaw,1
2018-02-10,SAS,GSW,David West,Nick Young,1
2018-02-10,SAS,GSW,Quinn Cook,Kevon Looney,1
2018-02-10,SAS,GSW,Jordan Bell,Kevon Looney,1
2018-02-10,SAS,GSW,Andre Iguodala,Zaza Pachulia,2
2018-02-10,SAS,GSW,Andre Iguodala,Quinn Cook,1
2018-02-10,SAS,GSW,Quinn Cook,Zaza Pachulia,1
2018-02-10,SAS,GSW,Shaun Livingston,JaVale McGee,1
2018-02-10,SAS,GSW,JaVale McGee,Kevon Looney,2
2018-02-10,SAS,GSW,Shaun Livingston,Nick Young,1
2018-02-10,SAS,GSW,Andre Iguodala,JaVale McGee,1
