date,opponent,team,assistant,finisher,assists
2017-12-25,CLE,GSW,Patrick McCaw,Klay Thompson,1
2017-12-25,CLE,GSW,Draymond Green,Klay Thompson,4
2017-12-25,CLE,GSW,Draymond Green,Kevin Durant,2
2017-12-25,CLE,GSW,Jordan Bell,Klay Thompson,1
2017-12-25,CLE,GSW,Kevon Looney,Andre Iguodala,1
2017-12-25,CLE,GSW,Klay Thompson,Draymond Green,1
2017-12-25,CLE,GSW,Draymond Green,Shaun Livingston,2
2017-12-25,CLE,GSW,Patrick McCaw,Jordan Bell,1
2017-12-25,CLE,GSW,Jordan Bell,Kevin Durant,1
2017-12-25,CLE,GSW,Kevin Durant,Omri Casspi,2
2017-12-25,CLE,GSW,Draymond Green,Jordan Bell,3
2017-12-25,CLE,GSW,Klay Thompson,Patrick McCaw,1
2017-12-25,CLE,GSW,Kevin Durant,Patrick McCaw,1
2017-12-25,CLE,GSW,Jordan Bell,Patrick McCaw,1
2017-12-25,CLE,GSW,Andre Iguodala,Klay Thompson,1
2017-12-25,CLE,GSW,Shaun Livingston,Draymond Green,2
2017-12-25,CLE,GSW,Shaun Livingston,Kevin Durant,1
2017-12-25,CLE,GSW,David West,Draymond Green,1
2017-12-25,CLE,GSW,David West,Kevin Durant,1
