date,opp,home_away,final_score,espn_box,espn_game,nba_game,bbr_box
2017-10-17,HOU,vs,"GSW 121–122 HOU",https://www.espn.com/nba/boxscore/_/gameId/400974438,https://www.espn.com/nba/game/_/gameId/400974438/rockets-warriors,https://www.nba.com/game/hou-vs-gsw-0021700002,https://www.basketball-reference.com/boxscores/201710170GSW.html
2017-10-25,TOR,vs,"GSW 117–112 TOR",https://www.espn.com/nba/boxscore/_/gameId/400974814,https://www.espn.com/nba/game/_/gameId/400974814/raptors-warriors,https://www.nba.com/game/tor-vs-gsw-0021700063,https://www.basketball-reference.com/boxscores/201710250GSW.html
2017-11-02,SAS,@,"GSW 112–92 SAS",https://www.espn.com/nba/boxscore/_/gameId/400974868,https://www.espn.com/nba/game/_/gameId/400974868/warriors-spurs,https://www.nba.com/game/gsw-vs-sas-0021700104,https://www.basketball-reference.com/boxscores/201711020SAS.html
2017-11-16,BOS,@,"GSW 88–92 BOS",https://www.espn.com/nba/boxscore/_/gameId/400974966,https://www.espn.com/nba/game/_/gameId/400974966/warriors-celtics,https://www.nba.com/game/gsw-vs-bos-0021700181,https://www.basketball-reference.com/boxscores/201711160BOS.html
2017-12-25,CLE,vs,"GSW 99–92 CLE",https://www.espn.com/nba/boxscore/_/gameId/400974446,https://www.espn.com/nba/game/_/gameId/400974446/cavaliers-warriors,https://www.nba.com/game/cle-vs-gsw-0021700494,https://www.basketball-reference.com/boxscores/201712250GSW.html
2018-01-04,HOU,@,"GSW 124–114 HOU",https://www.espn.com/nba/boxscore/_/gameId/400975312,https://www.espn.com/nba/game/_/gameId/400975312/warriors-rockets,https://www.nba.com/game/gsw-vs-hou-0021700566,https://www.basketball-reference.com/boxscores/201801040HOU.html
2018-01-15,CLE,@,"GSW 118–108 CLE",https://www.espn.com/nba/boxscore/_/gameId/400975505,https://www.espn.com/nba/game/_/gameId/400975505/warriors-cavaliers,https://www.nba.com/game/gsw-vs-cle-0021700646,https://www.basketball-reference.com/boxscores/201801150CLE.html
2018-01-27,BOS,vs,"GSW 109–105 BOS",https://www.espn.com/nba/boxscore/_/gameId/400975658,https://www.espn.com/nba/game/_/gameId/400975658/celtics-warriors,https://www.nba.com/game/bos-vs-gsw-0021700739,https://www.basketball-reference.com/boxscores/201801270GSW.html
2018-02-10,SAS,vs,"GSW 122–105 SAS",https://www.espn.com/nba/boxscore/_/gameId/400975802,https://www.espn.com/nba/game/_/gameId/400975802/spurs-warriors,https://www.nba.com/game/sas-vs-gsw-0021700846,https://www.basketball-reference.com/boxscores/201802100GSW.html
2018-02-14,POR,@,"GSW 117–123 POR",https://www.espn.com/nba/boxscore/_/gameId/400975842,https://www.espn.com/nba/game/_/gameId/400975842/warriors-trail-blazers,https://www.nba.com/game/gsw-vs-por-0021700882,https://www.basketball-reference.com/boxscores/201802140POR.html
