date,opponent,team,assistant,finisher,assists
2017-10-17,HOU,GSW,Draymond Green,Klay Thompson,2
2017-10-17,HOU,GSW,Kevin Durant,Klay Thompson,2
2017-10-17,HOU,GSW,Kevin Durant,Stephen Curry,1
2017-10-17,HOU,GSW,Draymond Green,Zaza Pachulia,1
2017-10-17,HOU,GSW,Draymond Green,Patrick McCaw,1
2017-10-17,HOU,GSW,Patrick McCaw,Jordan Bell,1
2017-10-17,HOU,GSW,Draymond Green,Nick Young,2
2017-10-17,HOU,GSW,Jordan Bell,Nick Young,1
2017-10-17,HOU,GSW,Shaun Livingston,Nick Young,3
2017-10-17,HOU,GSW,Shaun Livingston,Kevin Durant,1
2017-10-17,HOU,GSW,Stephen Curry,Kevin Durant,1
2017-10-17,HOU,GSW,Draymond Green,Kevin Durant,4
2017-10-17,HOU,GSW,Klay Thompson,Draymond Green,1
2017-10-17,HOU,GSW,Kevin Durant,Draymond Green,1
2017-10-17,HOU,GSW,Draymond Green,Shaun Livingston,1
2017-10-17,HOU,GSW,Draymond Green,Stephen Curry,1
2017-10-17,HOU,GSW,Stephen Curry,Zaza Pachulia,1
2017-10-17,HOU,GSW,Klay Thompson,Stephen Curry,2
2017-10-17,HOU,GSW,Kevin Durant,Jordan Bell,2
2017-10-17,HOU,GSW,Draymond Green,Jordan Bell,1
2017-10-17,HOU,GSW,Stephen Curry,Nick Young,1
2017-10-17,HOU,GSW,Shaun Livingston,David West,1
2017-10-17,HOU,GSW,Stephen Curry,Klay Thompson,1
2017-10-17,HOU,GSW,Kevin Durant,Patrick McCaw,1
