date,opponent,team,assistant,finisher,assists
2017-11-16,BOS,GSW,Draymond Green,Kevin Durant,2
2017-11-16,BOS,GSW,Klay Thompson,Zaza Pachulia,1
2017-11-16,BOS,GSW,Zaza Pachulia,Klay Thompson,1
2017-11-16,BOS,GSW,Stephen Curry,Zaza Pachulia,1
2017-11-16,BOS,GSW,Stephen Curry,Kevin Durant,1
2017-11-16,BOS,GSW,Kevin Durant,Nick Young,1
2017-11-16,BOS,GSW,Draymond Green,Nick Young,1
2017-11-16,BOS,GSW,Shaun Livingston,Andre Iguodala,2
2017-11-16,BOS,GSW,Andre Iguodala,Draymond Green,1
2017-11-16,BOS,GSW,Klay Thompson,Andre Iguodala,1
2017-11-16,BOS,GSW,Klay Thompson,David West,1
2017-11-16,BOS,GSW,Draymond Green,Zaza Pachulia,1
2017-11-16,BOS,GSW,Stephen Curry,Klay Thompson,2
2017-11-16,BOS,GSW,Shaun Livingston,Klay Thompson,1
2017-11-16,BOS,GSW,Kevin Durant,Draymond Green,1
2017-11-16,BOS,GSW,Shaun Livingston,Kevin Durant,1
2017-11-16,BOS,GSW,Stephen Curry,Omri Casspi,1
2017-11-16,BOS,GSW,Draymond Green,Stephen Curry,1
2017-11-16,BOS,GSW,Kevin Durant,Stephen Curry,1
